,station name,name,address,category,rating,review count
92,10. Ravacciano,Tre Cristi,Vicolo di Provenzano 1,Italian Restaurant,,
93,10. Ravacciano,L'oro di Siena di Luppoli Marcellino & C. SNC,Via Giuseppe Garibaldi 61,"Pizzeria, Italian Restaurant",,
94,10. Ravacciano,Osteria Le Sorelline,Via dei Rossi 76,Restaurant,,
95,10. Ravacciano,La Madonnina Rossa,Via Simone Martini 148,Restaurant,,
96,10. Ravacciano,Senafrutta SRL,Viale Toselli 6,Fruit and Vegetable Store,,
97,10. Ravacciano,Campetto da Basket di Ravacciano,Via del Vecchietta,Basketball Court,,
98,10. Ravacciano,Sushi Bar,Via Domenico Beccafumi 10,"Trattoria, Japanese Restaurant",,
99,10. Ravacciano,La Prosciutteria,Via di Pantaneto 89,"Bar, Italian Restaurant, Tapas Restaurant",,
100,11. S. Miniato,Tutto per Tutti,Piazza Palmiro Togliatti 8,Tobacco Store,,
101,11. S. Miniato,La Pizzeria di San Miniato,Piazza Palmiro Togliatti 2,Pizzeria,,
102,11. S. Miniato,Parrocchia S. Miniato,Via Aldo Moro,Church,,
103,11. S. Miniato,Infreedom Onlus,Via Alcide de Gasperi 12,Office Building,,
104,11. S. Miniato,Scaccini e Cucini di Scaccini S. e Cucini M SNC,Piazza Palmiro Togliatti 3,Bar,,
105,11. S. Miniato,Forno San Miniato,Piazza Togliatti 7,Wholesaler,,
106,11. S. Miniato,Studio Medico Dr. Marsiglietti Carlo - Ginecologia e Ostetricia,Via Giuseppe di Vittorio 12,,,
107,11. S. Miniato,Cooperativa San Miniato,Piazza Palmiro Togliatti,Convenience Store,,
108,11. S. Miniato,Si Donna,Piazza Palmiro Togliatti 15,Business and Professional Services,,
109,11. S. Miniato,Cittinilandia,Via Achille Grandi 2,,,
110,12. Terminal Bus,Sushiko,Piazzale Carlo Rosselli 25,Sushi Restaurant,,
111,12. Terminal Bus,Punto Enel,Via Lauro de Bosis 26,Miscellaneous Store,,
112,12. Terminal Bus,Chianti Banca,Via Lauro de Bosis 20,Bank,,
113,12. Terminal Bus,Polizia di Stato,Piazza Carlo Rosselli 7,Police Station,,
114,12. Terminal Bus,Bar Bracci,Viale Bracci 4,"Bar, Café, Pizzeria",,
115,12. Terminal Bus,Monastero Monache Agostiniane,Località Lecceto,Spiritual Center,,
116,12. Terminal Bus,Allscent,Piazzale Carlo Rosselli 25,Cosmetics Store,,
117,12. Terminal Bus,Farmacia Comunale,"Stazione Ferroviaria di Siena, Piazzale Carlo Rosselli",Drugstore,,
118,12. Terminal Bus,Ristorante Primo Binario,Piazza Carlo Rosselli 19,Pizzeria,,
119,12. Terminal Bus,Bar Ristorante Stazione,Piazza Rosselli Carlo 6,"Bar, Cafe, Coffee, and Tea House",,
120,14. Vico Alto,La Veranda,Piazza Calabria 20,Pizzeria,,
121,14. Vico Alto,Skilè Music Bar,Piazza Calabria 18,"Arts and Entertainment, Dive Bar, Pub",,
122,14. Vico Alto,Federazione Italiana Pallacanestro,Via Liguria 2,Sports Club,,
123,14. Vico Alto,Comitato Regionale Toscano Geometri,Via delle Regioni 23,Community and Government,,
124,14. Vico Alto,Chiantini Alfio & C.,Piazza Calabria 10,Home Appliance Store,,
125,14. Vico Alto,Club Alpino Italiano - CAI di SIENA,Piazza Calabria 25,,,
126,14. Vico Alto,Pasticceria Senese,piazza Calabria 25,Dessert Shop,,
127,14. Vico Alto,Al Fiumino,Via Giovanni Paolo II,"Wine Bar, Buffet, Gastropub",,
128,14. Vico Alto,Motorizzazione Civile,Via delle Regioni 70,Government Building,,
129,14. Vico Alto,AGENZIA delle ENTRATE Direzione Provinciale di SIENA,Via Liguria 4,,,
130,15. Casa dell'Ambiente,Bancasciano,Viale Sardegna 1,Bank,,
131,15. Casa dell'Ambiente,L'oro di Siena di Luppoli Marcellino & C. SNC,Via Giuseppe Garibaldi 61,"Pizzeria, Italian Restaurant",,
132,15. Casa dell'Ambiente,Sushi Bar,Via Domenico Beccafumi 10,"Trattoria, Japanese Restaurant",,
133,15. Casa dell'Ambiente,Zooagricoli Parafarmacia Senese - Farmaci veterinari e parafarmacia (Zooagricoli Parafarmacia Senese),Via Simone Martini 64,Drugstore,,
134,15. Casa dell'Ambiente,Poste Italiane,Viale Giuseppe Mazzini 6,Post Office,,
135,15. Casa dell'Ambiente,Tipolitografia La Diana,Viale Giuseppe Mazzini 19,Miscellaneous Store,,
136,15. Casa dell'Ambiente,2 Link - Design Funzionale,Via Simone Martini 31,Gift Store,,
137,15. Casa dell'Ambiente,Osteria di Kamollia,Via Camollia 114,"Trattoria, Tuscan Restaurant",,
138,15. Casa dell'Ambiente,DorelanBed,Viale Sardegna 31,Furniture and Home Store,,
139,15. Casa dell'Ambiente,Enzo,Via Camollia 49,,,
140,16. Frajese,Materassi & Materassi,Via Paolo Frajese 3,,,
141,16. Frajese,Mercato di Campagna Amica,Via Paolo Frajese 21,Farmers Market,,
142,16. Frajese,Enzo Sushi,Via Paolo Frajese 63,Restaurant,,
143,16. Frajese,Macelleria Senese da Fulvio,Via Paolo Frajese 9,"Butcher, Grocery Store, Meat and Seafood Store",,
144,16. Frajese,La Verbena Giardini,Strada di Montalbuccio 21,Landscaper and Gardener,,
145,16. Frajese,Fusi Forniture Ufficio di Fusi Paolo & C. SAS 'Bluofficè,Via Paolo Frajese 13,,,
146,16. Frajese,Veneta Cucine,Via Paolo Frajese 1,Furniture and Home Store,,
147,16. Frajese,Pista Engels Lambardi,Strada di Pescaia 121a,Hockey Field,,
148,16. Frajese,Cannoleria Ke Cassata,Strada di Pescaia 117,,,
149,16. Frajese,Il Tagliere di Lele,Strada Pescaia 129,"Bar, Gastropub, Pizzeria",,
150,17. Mercato,Tea-Room Porta Giustizia,Via di Porta Giustizia 11,"Bar, Tea Room, Restaurant",,
151,17. Mercato,Gino Cacino,Piazza del Mercato 31,Food and Beverage Retail,,
152,17. Mercato,Ristorante La Finestra,Piazza Mercato 14,"Diner, Italian Restaurant",,
153,17. Mercato,Trattoria Papei,Piazza del Mercato 6,Trattoria,,
154,17. Mercato,Grotta Gallo Nero,Via Porrione 65,Italian Restaurant,,
155,17. Mercato,Piazza del Mercato,Piazza del Mercato,Plaza,,
156,17. Mercato,Maudit Pub,Vicolo della Fortuna 21,"Dive Bar, Pub, Restaurant",,
157,17. Mercato,Palazzo Pubblico,Piazza del Campo 1,Historic and Protected Site,,
158,17. Mercato,Gallo Nero,Via del Porrione 65,Italian Restaurant,,
159,17. Mercato,Osteria Il Carroccio,Via Casato di Sotto 32,Trattoria,,
160,18. Tufi,Bed & Breakfast Fonte dei Tufi,Strada dei Tufi 59,"Bed and Breakfast, Hotel",,
161,18. Tufi,Galleria San Lazzero,Strada Statale 223,Tunnel,,
162,18. Tufi,Emporio Musicale Senese,Strada di Cerchiaia 11,Music Store,,
163,18. Tufi,La Stramba,Strada dei Tufi 66,Vacation Rental,,
164,18. Tufi,M&Mj SRL Semplificata,Strada dei Tufi 66,,,
165,18. Tufi,Gabriele Donati Fotografo,Strada dei Tufi 55,Photographer,,
166,18. Tufi,Costa Del Sole SRL,Strada dei Tufi 61,,,
167,18. Tufi,Euronics,Strada Massetana Romana 62,"Electronics Store, Home Appliance Store",,
168,18. Tufi,Polisportiva Valentino Mazzola,Strada di Cerchiaia 1,Sports Club,,
169,18. Tufi,Simoncini Arch. Roberto,Strada Cerchiaia 36,Architecture Firm,,
170,13. Calamandrei,Azienda Regionale Per Il Diritto Allo Studio Universitario,Via de Nicola Enrico 9,Organization,,
171,13. Calamandrei,Mensa San Miniato Ristorante,Via de Nicola 9,Restaurant,,
172,13. Calamandrei,Centro Universitario Sportivo,Via Aldo Moro,Sports Club,,
173,13. Calamandrei,Pepi Luca,Via de Nicola Enrico 3,Upholstery Service,,
174,13. Calamandrei,Copy Web SMiniato SRL,Via Lizzadri Oreste 33,Retail,,
175,13. Calamandrei,Ditta B.F.M. di Bartali Fabrizio,Via Buozzi 65,Metals Supplier,,
176,13. Calamandrei,Mini Rolando,Via Enrico Berlinguer 19,Painter,,
177,13. Calamandrei,Vivenda SPA,Via Aldo Moro 2,,,
178,13. Calamandrei,Tempio Israelitico,Via delle Scotte,Synagogue,,
179,13. Calamandrei,Bartalini Mario,Via de Gasperi Alcide 2,Home Improvement Service,,
180,19. Petriccio,Pasticceria Pierini,Via Quinto Settano 5,"Bakery, Cupcake Shop, Pastry Shop",,
181,19. Petriccio,scuola materna Agnoletti,Via Quinto Settano,Nursery School,,
182,19. Petriccio,Kinos di Perozzi Dr. Donatella e di Tommaso Dr. Claudia SNC,Via Quinto Settano 10,Physical Therapy Clinic,,
